Date,Year,Month,Day,Weekday,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,last digit
2014-01-02,2014,1,2,Thursday,37.78,38.03,37.55,37.84,18162100.0,35.03,0.0,35.03,35.03,8
2014-01-03,2014,1,3,Friday,37.65,37.86,37.56,37.62,11693900.0,34.93,-0.0026506667561149166,34.980000000000004,34.980000000000004,5
2014-01-06,2014,1,6,Monday,37.64,37.8,37.42,37.47,15329400.0,34.8,-0.003987276966642583,34.92,34.92,4
2014-01-07,2014,1,7,Tuesday,37.66,37.93,37.5,37.85,16792200.0,35.15,0.01014124641884706,34.9775,34.9775,6
2014-01-08,2014,1,8,Wednesday,37.79,37.91,37.56,37.72,16111600.0,35.03,-0.003434388995889437,34.988,34.988,9
2014-01-09,2014,1,9,Thursday,37.85,37.85,37.46,37.65,13623500.0,34.96,-0.0018557599674675629,34.983333333333334,34.983333333333334,5
2014-01-10,2014,1,10,Friday,37.75,38.14,37.59,38.11,15402900.0,35.39,0.012217651542544283,35.041428571428575,35.041428571428575,5
2014-01-13,2014,1,13,Monday,37.95,38.2,37.7,37.75,20848300.0,35.06,-0.009446103058059041,35.04375,35.04375,5
2014-01-14,2014,1,14,Tuesday,37.78,38.25,37.71,38.21,13486400.0,35.48,0.012185285726380224,35.092222222222226,35.092222222222226,8
2014-01-15,2014,1,15,Wednesday,38.2,38.57,38.12,38.41,17010900.0,35.67,0.005234207847914396,35.150000000000006,35.150000000000006,0
2014-01-16,2014,1,16,Thursday,38.39,38.77,38.17,38.29,13463000.0,35.56,-0.00312421492228665,35.187272727272735,35.187272727272735,9
2014-01-17,2014,1,17,Friday,38.12,38.47,38.03,38.21,14051100.0,35.48,-0.002089265964286824,35.21166666666667,35.21166666666667,2
2014-01-21,2014,1,21,Tuesday,38.52,38.52,37.8,38.11,13540000.0,35.39,-0.0026172114334640506,35.22538461538462,35.22538461538462,2
2014-01-22,2014,1,22,Wednesday,38.03,38.28,37.95,37.98,14006300.0,35.27,-0.0034109580314404253,35.228571428571435,35.228571428571435,3
2014-01-23,2014,1,23,Thursday,38.17,38.26,37.93,38.15,14174200.0,35.43,0.004475791775796267,35.25714285714286,35.242,7
2014-01-24,2014,1,24,Friday,37.92,37.96,37.11,37.11,26815600.0,34.46,-0.027260561548228868,35.22357142857143,35.193125,2
2014-01-27,2014,1,27,Monday,37.26,37.37,36.49,36.49,19073800.0,33.89,-0.016707273739640205,35.158571428571435,35.116470588235295,6
2014-01-28,2014,1,28,Tuesday,36.6,37.13,36.58,37.1,13899900.0,34.45,0.0167166865496593,35.10857142857144,35.07944444444445,0
2014-01-29,2014,1,29,Wednesday,37.18,37.25,36.71,36.97,16553600.0,34.33,-0.0035035961632067236,35.05857142857144,35.040000000000006,8
2014-01-30,2014,1,30,Thursday,37.19,37.56,37.08,37.4,12975500.0,34.73,0.011630896757096165,35.04214285714287,35.0245,9
2014-01-31,2014,1,31,Friday,37.03,37.2,36.68,36.9,17039700.0,34.27,-0.013369141959359121,34.96214285714287,34.98857142857143,3
2014-02-03,2014,2,3,Monday,37.09,37.09,35.82,35.84,21272600.0,33.28,-0.028726181608524137,34.835000000000015,34.910909090909094,9
2014-02-04,2014,2,4,Tuesday,35.65,36.02,35.44,35.96,16228000.0,33.39,0.0033479010028114597,34.685714285714305,34.84478260869565,5
2014-02-05,2014,2,5,Wednesday,35.52,36.25,35.47,35.95,11458400.0,33.38,-0.00027793707404111245,34.522142857142875,34.783750000000005,2
2014-02-06,2014,2,6,Thursday,36.12,36.83,36.11,36.72,14762200.0,34.1,0.021418874145888722,34.41785714285716,34.756400000000006,2
2014-02-07,2014,2,7,Friday,36.88,37.23,36.71,37.19,13114700.0,34.54,0.012799493801790351,34.3507142857143,34.74807692307692,8
2014-02-10,2014,2,10,Monday,37.24,37.44,37.07,37.3,10976900.0,34.64,0.0029577377200091792,34.29714285714287,34.74407407407408,4
2014-02-11,2014,2,11,Tuesday,37.5,37.9,37.39,37.84,12066100.0,35.14,0.014476904134150148,34.287857142857156,34.75821428571429,0
2014-02-12,2014,2,12,Wednesday,37.8,38.25,37.66,38.07,12343200.0,35.35,0.006078643598225186,34.28214285714287,34.77862068965517,0
2014-02-13,2014,2,13,Thursday,37.84,38.49,37.78,38.42,11683200.0,35.68,0.00919349424322169,34.36928571428573,34.80866666666667,4
2014-02-14,2014,2,14,Friday,38.33,38.33,37.92,37.98,15641400.0,35.27,-0.011452188332620739,34.46785714285716,34.82354838709677,3
2014-02-18,2014,2,18,Tuesday,38.06,38.12,37.73,37.97,10560300.0,35.26,-0.00026347910311108613,34.52571428571431,34.8371875,6
